id,birthY,gender,nationality,label
8944,1621,1,清,石林心慶
8945,1621,1,清,嬾民祖玄
8946,1621,1,清,几水玄覺
8947,1621,1,清,不已寂純
8948,1621,1,清,大雲長
8949,1621,1,清,石琴聞
8950,1621,1,清,海雲仲
8951,1621,1,清,梅隱清
8952,1621,1,清,梅孰海
8953,1621,1,清,紹維綬
8954,1593,1,清,自牧緣
8955,1596,1,清,孚山性志
8956,1593,1,清,賈達真
8957,1635,1,清,栢山森
8958,1604,1,清,超空
8959,1606,1,清,牧雨霖
8960,1606,1,清,古拙圓
8961,1606,1,清,乳峰宗
8962,1606,1,清,古松蔭
8963,1606,1,清,曹山嵩
8964,1606,1,清,旵崖鑑
8965,1606,1,清,鶖一聰
8966,1606,1,清,巨源海
8967,1606,1,清,愚谷賢
8968,1606,1,清,嵓清微
8969,1606,1,清,鐵庵總
8970,1606,1,清,喝雲超巨
8971,1606,1,清,鐵航權
8972,1606,1,清,笠庵方
8973,1606,1,清,清微演
8974,1606,1,清,此山遇
8975,1606,1,清,語松月
8976,1606,1,清,思隱林
8977,1606,1,清,芥含一
8978,1606,1,清,用乾能
8979,1606,1,清,天鼻象
8980,1610,1,清,慈朗超鷲
8981,1610,1,清,漢關超喻
8982,1610,1,清,雪厂岳慧
8983,1610,1,清,遜菴等玉
8984,1610,1,清,荊門湛𤨄
8985,1610,1,清,起綱超宗
8986,1610,1,清,佛音祖昺
8987,1610,1,清,慵菴道玉
8988,1610,1,清,庚山弘秀
8989,1610,1,清,一融師用
8990,1610,1,清,南崖普聞
8991,1610,1,清,釋鑑超吼
8992,1610,1,清,南魯德穎
8993,1610,1,清,瑞初超祥
8994,1610,1,清,開先超卓
8995,1610,1,清,米山超靜
8996,1610,1,清,弘濟超源
8997,1610,1,清,師則超相
8998,1596,1,清,雷門墜
8999,1596,1,清,具彰略
9000,1596,1,清,無瑕玉
9001,1596,1,清,指月明
9002,1596,1,清,雲峰學
9003,1596,1,清,世拙智
